,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class;;
8652,Horace Silver,The Sophisticated Hippie - Easy Mo Bee Remix,45.0,0.719,0.805,7.0,-9.966,0.0,0.0452,0.0311,0.236,0.0645,0.558,108.954,413560.0,4.0,5.0
8654,Foreign Air,Wake Me Up,45.0,0.229,0.915,10.0,-4.939,0.0,0.0762,0.0103,0.471,0.104,0.305,177.989,222760.0,3.0,10.0
8656,Reuben,Freddy Kreuger,36.0,0.485,0.937,3.0,-5.088,0.0,0.0807,4.4e-05,6.01e-05,0.127,0.531,146.157,148827.0,4.0,10.0
8657,Franz Ferdinand,Evil Eye,52.0,0.702,0.815,11.0,-3.289,0.0,0.0296,0.0148,3.85e-05,0.0486,0.819,110.968,167253.0,4.0,10.0
8659,Kartikeya Vashist,The Winds of Bihu,23.0,0.605,0.574,1.0,-12.217,1.0,0.0588,0.744,0.904,0.213,0.176,89.941,230000.0,3.0,6.0
8660,Eli Young Band,Crazy Girl,70.0,0.366,0.651,4.0,-3.842,1.0,0.031,0.000415,0.00526,0.271,0.257,151.343,3.345116667,3.0,4.0
8661,Slayer,Angel Of Death,57.0,0.326,0.995,1.0,-4.38,1.0,0.147,9.41e-05,0.386,0.145,0.092,105.459,291773.0,4.0,8.0
8662,Nothing,Blue Line Baby,36.0,0.248,0.687,2.0,-6.233,1.0,0.0393,0.00224,0.85,0.0639,0.17,164.622,270853.0,4.0,10.0
8663,Jason Isbell,If It Takes a Lifetime,52.0,0.556,0.504,9.0,-11.513,1.0,0.0293,0.0427,0.000356,0.0582,0.616,84.421,220587.0,4.0,10.0
8667,Munkey Junkey,Oo Aa Na,8.0,0.667,0.36,8.0,-14.727,1.0,0.101,0.639,0.00101,0.802,0.781,143.897,180000.0,4.0,6.0
8668,Celldweller,Into The Void - Single Edit,51.0,0.434,0.952,6.0,-4.946,1.0,0.117,3.23e-05,0.00234,0.173,0.573,194.027,210928.0,4.0,8.0
8669,The Dead Daisies,Like No Other 2021,40.0,0.491,0.961,1.0,-5.361,1.0,0.259,9.58e-05,9.79e-05,0.335,0.5,102.022,209937.0,4.0,10.0
8670,House Of Pain,Jump Around,74.0,0.854,0.71,4.0,-6.32,0.0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,214947.0,4.0,5.0
8672,Mika Sade,Humor,20.0,0.571,0.631,4.0,-6.36,0.0,0.326,0.817,0.204,0.0858,0.587,169.829,193549.0,4.0,6.0
8673,Grace Mitchell,MANGO,42.0,0.765,0.779,11.0,-7.099,1.0,0.0317,0.211,0.238,0.122,0.669,125.012,185390.0,4.0,1.0
8674,Danny Gilboa,זה מכבר,17.0,0.608,0.363,2.0,-13.195,1.0,0.0263,0.586,0.401,0.197,0.238,133.97,276159.0,4.0,10.0
8676,Upside Down,Watchhouse,41.0,0.42,0.451,11.0,-9.217,0.0,0.0271,0.529,0.199,0.144,0.331,71.996,4.14435,4.0,0.0
8677,Far Caspian,Warning Sign - Alt Version,37.0,0.493,0.247,7.0,-14.955,0.0,0.0323,0.98,0.000463,0.0995,0.173,155.778,179670.0,4.0,6.0
8679,Tōth,Turnaround (Cocaine Song),32.0,0.502,0.526,11.0,-7.78,1.0,0.0666,0.735,3.43e-05,0.294,0.464,179.69,203498.0,4.0,1.0
8680,Green Day,Dreaming,43.0,0.356,0.842,9.0,-6.734,1.0,0.0531,0.00104,2.51e-05,0.0704,0.553,161.03,187405.0,4.0,10.0
8681,Andromida,Dystopia Foretold,42.0,0.527,0.936,1.0,-4.196,1.0,0.0444,2.79e-06,0.941,0.132,0.527,133.005,243722.0,4.0,8.0
8682,Born Ruffians,Checkin' Out,36.0,0.475,0.518,7.0,-9.665,1.0,0.0639,0.000946,0.00425,0.0907,0.513,104.0,157000.0,4.0,6.0
8683,Diles que no me maten,Pachuca,24.0,0.135,0.471,2.0,-10.661,1.0,0.0315,0.477,0.942,0.0866,0.0394,164.494,447270.0,4.0,10.0
8684,Slash,Anastasia,55.0,0.449,0.936,1.0,-5.447,1.0,0.0445,0.000595,0.00213,0.118,0.437,100.487,367280.0,4.0,10.0
8685,w. baer,I Was Wrong,36.0,0.342,0.805,5.0,-3.463,0.0,0.0418,0.0381,0.00198,0.162,0.165,121.587,204590.0,4.0,6.0
8687,Kenny Loggins,Footloose,67.0,0.564,0.911,2.0,-5.39,1.0,0.0536,0.159,4.36e-05,0.118,0.582,173.938,226293.0,4.0,10.0
8688,Pattern-Seeking Animals,Raining Hard in Heaven,18.0,0.34,0.597,5.0,-7.224,1.0,0.0317,0.0157,0.0269,0.114,0.229,114.1,511088.0,4.0,10.0
8691,Oceans,Break My Fall,30.0,0.404,0.751,4.0,-5.153,0.0,0.0364,0.00203,0.794,0.234,0.183,160.001,236855.0,4.0,6.0
8692,The Spencer Davis Group,Sittin' And Thinkin' - Mono Version,1.0,0.371,0.891,10.0,-6.587,1.0,0.14,0.209,0.0969,0.321,0.484,106.2,177307.0,3.0,2.0
8693,The Sounds,No One Sleeps When I’m Awake,42.0,0.527,0.851,6.0,-4.117,1.0,0.0438,0.00156,1.52e-05,0.147,0.519,131.968,264307.0,4.0,10.0
8694,Momma,Biohazard,40.0,0.565,0.769,6.0,-7.863,0.0,0.0594,0.0135,0.794,0.171,0.464,124.069,145920.0,4.0,1.0
8695,Lenny Kravitz,I Belong To You,54.0,0.687,0.68,7.0,-7.726,0.0,0.0489,0.000489,0.024,0.0724,0.674,87.314,257733.0,4.0,10.0
8696,FEWS,More Than Ever,34.0,0.379,0.966,9.0,-2.59,0.0,0.169,7.67e-05,0.565,0.357,0.478,166.153,199863.0,4.0,1.0
8698,Strawberry Station,Looking for Loving,26.0,0.698,0.839,2.0,-8.16,1.0,0.0361,0.0041,0.783,0.0833,0.65,128.023,204399.0,4.0,6.0
8699,Calvin Harris,One Kiss (with Dua Lipa),82.0,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847.0,4.0,9.0
8700,Iron & Wine,Time After Time,63.0,0.628,0.248,1.0,-13.304,1.0,0.032,0.814,0.0602,0.111,0.646,125.298,2.83695,4.0,0.0
8701,Eliad,ממריא איתי,22.0,0.688,0.617,8.0,-10.342,1.0,0.0384,0.259,0.000399,0.123,0.345,114.96,205427.0,4.0,9.0
8703,Faces,Ooh La La - 2015 Remaster,60.0,0.603,0.494,2.0,-10.27,1.0,0.0301,0.428,0.000171,0.0894,0.729,147.814,214960.0,4.0,1.0
8706,Koralle,Laid Back,46.0,0.73,0.439,6.0,-8.672,0.0,0.361,0.325,6.2e-05,0.0947,0.145,86.825,199640.0,4.0,5.0
8707,Ishi,Not My Girl - Yuksek Remix,37.0,0.731,0.763,4.0,-7.665,0.0,0.0397,0.0481,0.225,0.0737,0.551,99.015,233333.0,4.0,6.0
8708,Radiohead,Karma Police,75.0,0.36,0.501,7.0,-9.129,1.0,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,264067.0,4.0,1.0
8709,A Perfect Circle,The Doomed,54.0,0.367,0.903,4.0,-5.956,0.0,0.175,0.0477,0.00124,0.235,0.239,106.329,281781.0,3.0,8.0
8710,Freddie Spruell,Mr Freddie's Kokomo Blues,23.0,0.749,0.383,9.0,-9.351,1.0,0.164,0.989,6.69e-06,0.286,0.722,100.449,186640.0,4.0,2.0
8711,Mukesh,Kehta Hai Joker Sara Zamana,23.0,0.384,0.81,9.0,-11.082,0.0,0.083,0.638,0.519,0.304,0.311,113.606,5.469783333,4.0,3.0
8712,Editors,An End Has A Start,54.0,0.349,0.923,6.0,-2.432,0.0,0.0539,1.95e-05,0.111,0.336,0.535,149.904,225533.0,4.0,6.0
8716,Nirvana,Heart-Shaped Box,76.0,0.256,0.641,1.0,-10.283,1.0,0.0552,0.199,0.0329,0.0853,0.382,203.006,281160.0,4.0,1.0
8719,Green Carnation,The World Without a View,30.0,0.454,0.865,5.0,-7.9,1.0,0.0425,0.00252,0.0901,0.122,0.257,135.983,573989.0,3.0,8.0
8722,WARGASM (UK),Your Patron Saints,48.0,0.46,0.906,1.0,-8.201,1.0,0.15,2.99e-05,0.0348,0.17,0.566,161.055,204160.0,4.0,8.0
8723,Orions Belte,Joe Frazier,44.0,0.432,0.63,7.0,-9.511,0.0,0.0384,0.0663,0.687,0.223,0.569,133.77,338613.0,4.0,10.0
8726,The Gathering,Shortest Day,30.0,0.526,0.679,9.0,-7.353,0.0,0.0318,0.000658,0.337,0.816,0.295,112.481,252053.0,4.0,10.0
8730,Delain,Burning Bridges,40.0,0.373,0.948,11.0,-5.94,0.0,0.107,2.43e-05,0.0573,0.126,0.195,159.996,256040.0,4.0,8.0
8731,KALEO,Skinny,65.0,0.484,0.741,2.0,-5.298,1.0,0.0411,0.0228,0.000164,0.31,0.137,85.076,222317.0,4.0,8.0
8732,Kishore Kumar,O Saathi Re - Male Vocals,28.0,0.285,0.725,6.0,-3.717,1.0,0.033,0.716,1.59e-06,0.217,0.465,101.473,4.495283333,4.0,3.0
8733,Eyedress,Jealous,79.0,0.474,0.91,9.0,-10.431,0.0,0.0462,0.00498,0.859,0.476,0.745,93.01,122339.0,4.0,6.0
8734,Barbara Mandrell,(If Loving You Is Wrong) I Don't Want To Be Right,35.0,0.621,0.536,4.0,-10.935,0.0,0.0349,0.0341,1.01e-05,0.142,0.72,74.256,3.08355,4.0,4.0
8735,Dani Wilde,Falling,37.0,0.441,0.503,8.0,-5.706,1.0,0.0325,0.481,2.15e-06,0.085,0.385,134.134,303600.0,3.0,2.0
8736,Amnesia Scanner,AS Too Wrong,38.0,0.568,0.815,2.0,-5.798,1.0,0.0528,0.00555,0.0212,0.354,0.134,102.023,254500.0,4.0,6.0
8737,Behemoth,Ov Fire and the Void,45.0,0.471,0.973,1.0,-4.35,1.0,0.0806,2.29e-05,0.621,0.0243,0.152,130.034,267320.0,4.0,8.0
8743,Hadag Nahash,קובלנה על מפלגות ישראל,25.0,0.59,0.807,9.0,-4.979,0.0,0.0423,0.000321,0.00126,0.399,0.435,151.805,219893.0,4.0,5.0
8747,ONUKA,ZENIT,46.0,0.658,0.679,6.0,-5.766,1.0,0.0445,0.107,0.134,0.389,0.247,140.055,271189.0,4.0,6.0
8748,Manic Street Preachers,You Stole the Sun from My Heart,51.0,0.618,0.832,9.0,-8.015,1.0,0.0333,8.83e-05,9.01e-05,0.183,0.374,117.987,260507.0,4.0,6.0
8749,Alice Cooper,Rock & Roll,34.0,0.596,0.938,5.0,-2.728,1.0,0.101,0.00156,5e-06,0.0412,0.757,121.922,283010.0,4.0,10.0
8751,Paramore,Brick by Boring Brick,57.0,0.436,0.942,9.0,-2.206,1.0,0.0496,9.56e-05,0.000438,0.209,0.5,164.975,253947.0,4.0,10.0
8752,LightSkinKeisha,Drama,49.0,0.906,0.717,4.0,-6.777,1.0,0.265,0.213,2.1e-05,0.0934,0.776,126.003,213370.0,4.0,5.0
8754,Lata Mangeshkar,Ban Ke Panchhi Gaaye Pyar Ka Tarana,6.0,0.446,0.701,1.0,-8.41,1.0,0.2,0.701,0.00372,0.422,0.928,180.77,3.542883333,3.0,3.0
8756,Simple Minds,Don't You (Forget About Me),75.0,0.66,0.816,2.0,-6.61,1.0,0.0299,0.168,0.0181,0.0608,0.678,111.346,4.384,4.0,10.0
8758,Creedence Clearwater Revival,The Night Time Is The Right Time - Live At The Woodstock Music & Art Fair / 1969,35.0,0.454,0.885,4.0,-6.387,1.0,0.0487,0.0205,0.000399,0.756,0.592,112.878,209693.0,3.0,10.0
8759,Faith No More,Easy,67.0,0.506,0.554,10.0,-6.743,0.0,0.0339,0.339,0.000355,0.112,0.375,124.724,186960.0,4.0,10.0
8760,Big Ups,Fear,24.0,0.464,0.41,4.0,-8.721,1.0,0.0435,0.0954,0.0902,0.284,0.232,126.682,283850.0,3.0,10.0
8761,Widowspeak,Money (Hymn),37.0,0.137,0.155,8.0,-16.932,1.0,0.0368,0.447,0.1,0.174,0.0646,66.323,259088.0,3.0,6.0
8762,Yeah Yeah Yeahs,Gold Lion,54.0,0.521,0.855,9.0,-3.348,1.0,0.0686,0.0223,5.54e-06,0.0869,0.257,158.744,187133.0,4.0,1.0
8763,Etherius,The Eye of Ra,25.0,0.263,0.893,4.0,-7.15,0.0,0.0812,3.91e-06,0.88,0.136,0.0598,200.057,184360.0,4.0,8.0
8764,Plastic Bertrand,Ca plane pour moi,61.0,0.422,0.943,10.0,-4.365,1.0,0.0954,0.074,6.83e-05,0.105,0.845,165.764,182133.0,4.0,10.0
8765,Anki,My Head,33.0,0.509,0.952,8.0,-2.857,1.0,0.0679,0.0434,0.000401,0.0732,0.622,110.031,270545.0,4.0,10.0
8766,John Summit,Deep End,72.0,0.773,0.652,11.0,-9.187,0.0,0.0807,0.143,0.024,0.44,0.453,126.007,196687.0,4.0,9.0
8767,Tears For Fears,Everybody Wants To Rule The World,83.0,0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067,251489.0,4.0,10.0
8768,Masok,Regimen,14.0,0.723,0.585,3.0,-8.171,0.0,0.226,0.234,0.0232,0.071,0.847,86.03,219523.0,4.0,6.0
8770,Left to Suffer,Anger,48.0,0.413,0.965,8.0,-4.556,1.0,0.202,0.000317,0.00217,0.267,0.126,150.026,206000.0,4.0,8.0
8771,KLOUD,LOVE ME,50.0,0.587,0.902,8.0,-2.506,1.0,0.049,0.0336,0.000112,0.1,0.0878,102.029,204706.0,4.0,10.0
8773,Vulture Industries,Deeper,40.0,0.482,0.909,9.0,-4.972,1.0,0.0447,0.000179,0.00137,0.253,0.486,129.495,359452.0,4.0,8.0
8774,The Doves,Flying Bird,27.0,0.42,0.783,8.0,-10.134,0.0,0.0389,0.00102,0.903,0.265,0.691,126.093,213787.0,4.0,10.0
8775,Porcupine Tree,Shesmovedon,47.0,0.553,0.631,4.0,-9.6,0.0,0.0302,0.00614,0.035,0.482,0.381,142.029,314400.0,4.0,8.0
8776,Jayli Wolf,Child Of The Government,41.0,0.652,0.469,6.0,-11.148,0.0,0.0548,0.00675,0.00272,0.0929,0.321,120.065,221393.0,4.0,9.0
8779,Proux,Funk Express,27.0,0.726,0.872,5.0,-7.641,0.0,0.0631,0.000243,0.162,0.144,0.578,123.999,110313.0,4.0,6.0
8782,Tzukush,שלם,22.0,0.792,0.61,9.0,-8.893,0.0,0.0798,0.642,4.85e-05,0.0936,0.562,116.796,188718.0,4.0,5.0
8783,CAYAM,Chaos in the Distance,46.0,0.749,0.547,9.0,-11.342,0.0,0.0471,0.147,0.866,0.109,0.101,129.002,372151.0,4.0,6.0
8784,LL Cool J,Loungin (Who Do Ya Luv),58.0,0.817,0.584,7.0,-9.785,1.0,0.174,0.432,0.00609,0.225,0.501,99.947,229373.0,4.0,5.0
8786,Refused,REV001,32.0,0.557,0.854,9.0,-5.878,0.0,0.0503,0.00467,0.00409,0.592,0.399,101.968,190267.0,4.0,10.0
8787,Pantera,Walk,73.0,0.43,0.704,1.0,-8.008,0.0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,315120.0,4.0,8.0
8791,Tyler Bryant & the Shakedown,Ride,37.0,0.482,0.845,1.0,-5.2,0.0,0.0328,0.0612,0.000719,0.357,0.698,175.774,206173.0,4.0,2.0
8792,Stepping Sideways,Quintessence,20.0,0.323,0.983,2.0,-3.98,0.0,0.116,0.000147,0.000978,0.116,0.0998,160.002,205800.0,4.0,8.0
8793,Charlie Marie,Heard It Through the Red Wine,32.0,0.654,0.658,2.0,-5.565,1.0,0.0293,0.339,9.03e-06,0.318,0.47,125.056,227453.0,4.0,1.0
8794,Ammonia,Drugs,39.0,0.624,0.586,9.0,-8.271,1.0,0.041,0.000967,0.058,0.0664,0.889,115.932,207000.0,4.0,10.0
8796,Whose Rules,Lights,43.0,0.745,0.622,7.0,-7.479,1.0,0.194,0.161,0.0751,0.0609,0.621,88.023,126000.0,4.0,6.0
8798,Cassandra Jenkins,Michelangelo,42.0,0.564,0.368,7.0,-10.228,1.0,0.0281,0.587,0.681,0.18,0.544,139.01,209837.0,4.0,1.0
8800,Soccer Mommy,Wide Open Spaces,43.0,0.445,0.575,4.0,-8.495,1.0,0.0276,0.374,0.000816,0.813,0.516,82.614,301154.0,4.0,6.0
8801,Allan Rayman,Stitch,39.0,0.731,0.78,1.0,-4.903,1.0,0.0978,0.124,0.000176,0.0847,0.536,90.024,165827.0,4.0,10.0
8802,Highly Suspect,Lydia,53.0,0.417,0.706,6.0,-4.652,0.0,0.0945,0.00933,0.000572,0.474,0.512,127.884,242560.0,4.0,10.0
8804,Boss Keloid,Smiling Thrush,31.0,0.236,0.819,2.0,-7.886,1.0,0.0351,7.84e-05,0.0707,0.383,0.416,140.926,316339.0,4.0,8.0
8805,Dieter Huber,wolkenlos,48.0,0.453,0.0567,2.0,-18.646,1.0,0.0741,0.987,0.955,0.109,0.402,151.524,3.606783333,3.0,7.0
8806,mxmtoon,fever dream - acoustic,50.0,0.509,0.339,4.0,-7.272,1.0,0.0295,0.922,3.84e-06,0.0983,0.16,98.104,211200.0,4.0,9.0
8807,Editors,Munich,62.0,0.173,0.872,7.0,-4.39,0.0,0.0533,0.00052,0.0353,0.324,0.39,149.361,226427.0,4.0,10.0
8808,Vince Gill,When I Call Your Name,56.0,0.506,0.11,5.0,-17.615,1.0,0.0307,0.35,0.00144,0.139,0.208,70.554,4.252216667,3.0,4.0
8809,Aerosmith,Mama Kin,50.0,0.426,0.751,4.0,-10.91,1.0,0.0403,0.122,0.00144,0.271,0.889,153.359,267227.0,4.0,2.0
8811,Munro,Incubus,38.0,0.38,0.996,10.0,-4.54,0.0,0.153,2.69e-05,0.669,0.257,0.126,160.008,334969.0,4.0,8.0
8817,Emily Hall,Stupid Love - Acoustic Cover,26.0,0.634,0.149,4.0,-11.742,1.0,0.0403,0.957,3.35e-05,0.102,0.291,102.831,201990.0,4.0,9.0
8820,Rise Against,Nowhere Generation,64.0,0.373,0.944,11.0,-3.99,1.0,0.0998,0.00265,3.55e-05,0.422,0.376,165.881,232933.0,4.0,10.0
8821,ISLAND,Octopus,50.0,0.553,0.806,10.0,-4.149,1.0,0.039,0.209,0.0112,0.0942,0.359,106.434,148280.0,4.0,6.0
8822,Luna Abu Nassar,Rakevet,14.0,0.813,0.609,10.0,-7.93,0.0,0.0558,0.156,0.00204,0.346,0.498,87.996,213440.0,4.0,6.0
8823,Matt Stell,Prayed For You,66.0,0.6,0.698,9.0,-5.86,1.0,0.0355,0.0724,1.64e-06,0.113,0.57,140.032,3.506216667,4.0,4.0
8826,Narkis,משה,32.0,0.506,0.727,1.0,-4.788,0.0,0.0339,0.096,4.98e-06,0.103,0.3,103.905,254135.0,4.0,9.0
8828,Purity Ring,Better Off Alone,54.0,0.599,0.891,8.0,-6.0,0.0,0.0327,0.121,0.796,0.216,0.488,136.99,232000.0,4.0,6.0
8829,Massel Klezmorim,Sephardic Elegy,39.0,0.706,0.218,2.0,-15.802,0.0,0.0486,0.87,0.037,0.0739,0.478,146.365,2.45,4.0,7.0
8830,Stone Temple Pilots,Vasoline - 2019 Remaster,62.0,0.295,0.977,10.0,-7.086,1.0,0.088,0.00147,0.000187,0.0887,0.353,168.672,176547.0,4.0,10.0
8831,Rotem Or,This Is What You All Came For,3.0,0.763,0.554,11.0,-9.914,0.0,0.0287,0.257,0.203,0.114,0.123,109.998,237813.0,4.0,6.0
8832,Hannah Wicklund,Ghost,34.0,0.41,0.823,9.0,-4.939,0.0,0.0464,0.0117,0.0146,0.347,0.635,186.003,243397.0,4.0,2.0
8833,Ran Rishon,Et Lizroa,20.0,0.633,0.691,6.0,-5.994,0.0,0.0314,0.018,6.57e-05,0.196,0.529,116.109,226560.0,4.0,10.0
8834,Death Cab for Cutie,I Will Possess Your Heart,56.0,0.605,0.619,9.0,-8.971,0.0,0.0261,0.423,0.313,0.0732,0.578,133.074,505773.0,4.0,6.0
8835,Rad Horror,Stay Out,38.0,0.581,0.847,7.0,-5.48,0.0,0.0638,0.000259,0.00897,0.0875,0.394,120.07,188000.0,4.0,1.0
8836,Conway Twitty,Linda On My Mind - Single Version,34.0,0.383,0.292,9.0,-15.23,1.0,0.0293,0.314,1.32e-05,0.0581,0.593,104.789,2.71155,4.0,4.0
8839,Crobot,Low Life,57.0,0.546,0.911,6.0,-4.801,1.0,0.062,0.0008,7.73e-05,0.131,0.757,76.008,216515.0,4.0,10.0
8841,Haiva Ru,Work It On Out,41.0,0.712,0.604,11.0,-8.961,0.0,0.0307,0.0478,1.02e-06,0.117,0.566,110.022,225969.0,4.0,6.0
8842,Sorcha Richardson,First Prize Bravery,42.0,0.718,0.554,11.0,-8.041,0.0,0.108,0.607,1.22e-05,0.0766,0.698,113.974,230053.0,4.0,6.0
8845,John Garcia,My Everything,27.0,0.409,0.88,5.0,-4.632,1.0,0.051,0.000211,0.651,0.299,0.368,133.255,216456.0,4.0,8.0
8847,Russ,BANKRUPT,65.0,0.677,0.504,7.0,-4.688,1.0,0.0344,0.0201,0.688,0.0712,0.542,79.985,171000.0,4.0,5.0
8848,Backstreet Boys,Love Somebody - Live in Japan,15.0,0.582,0.872,11.0,-6.958,1.0,0.0726,0.00202,0.00142,0.51,0.519,127.991,3.930316667,4.0,9.0
8851,Motörhead,Thunder & Lightning,44.0,0.429,0.995,1.0,-5.259,1.0,0.172,0.00258,0.528,0.197,0.061,134.967,186133.0,4.0,8.0
8852,AURAGRAPH,Sky Plaza - 猫 シ Corp. Remix,33.0,0.695,0.664,10.0,-15.11,0.0,0.0304,0.549,0.86,0.899,0.863,127.284,163625.0,4.0,6.0
8853,Right on Time,Brandi Carlile,60.0,0.419,0.269,7.0,-9.388,1.0,0.0356,0.626,1.83e-05,0.116,0.152,121.695,3.087133333,4.0,0.0
8854,Kenny Drew,I Could Write A Book,32.0,0.61,0.219,7.0,-14.668,0.0,0.0464,0.935,0.447,0.0825,0.587,148.284,4.675333333,4.0,7.0
8855,AURORA,Runaway,89.0,0.422,0.302,11.0,-9.214,1.0,0.0372,0.629,7.83e-05,0.104,0.123,114.089,248827.0,4.0,6.0
8856,Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),53.0,0.344,0.921,2.0,-3.049,1.0,0.0459,0.00143,1.13e-05,0.38,0.396,126.766,235693.0,4.0,10.0
8857,Suzi Quatro,Suicide - 2017 Remaster,34.0,0.634,0.365,2.0,-12.698,1.0,0.0321,0.0212,0.00631,0.284,0.344,114.928,247169.0,4.0,10.0
8858,The Buggles,Video Killed The Radio Star,71.0,0.68,0.678,1.0,-11.548,1.0,0.0754,0.103,0.00828,0.204,0.251,131.165,252773.0,4.0,9.0
8859,Akolo,Why Not?,18.0,0.701,0.731,7.0,-9.593,1.0,0.0809,0.00708,0.139,0.747,0.669,109.905,213818.0,4.0,2.0
8861,Billy Idol,Rebel Yell,72.0,0.53,0.864,4.0,-4.948,0.0,0.061,0.000753,0.000459,0.354,0.484,166.312,288533.0,4.0,10.0
8862,'68,Bad Bite,36.0,0.558,0.977,1.0,-5.082,1.0,0.211,0.000618,0.0013,0.316,0.473,167.984,190031.0,4.0,6.0
8863,Kurt Vile,Pretty Pimpin,63.0,0.566,0.663,8.0,-9.068,1.0,0.0278,0.0945,0.294,0.0915,0.762,91.108,298760.0,4.0,1.0
8864,Talking Heads,(Nothing But) Flowers,45.0,0.603,0.848,4.0,-5.364,0.0,0.0423,0.0628,0.000133,0.211,0.897,120.764,333000.0,4.0,10.0
8866,Zonderling,Lifetime - Acoustic Version,55.0,0.726,0.223,7.0,-12.551,1.0,0.0324,0.919,4.34e-06,0.121,0.661,94.034,187584.0,4.0,9.0
8868,Rachel Silver,Shiny Stockings,43.0,0.738,0.227,7.0,-13.748,1.0,0.0302,0.865,0.102,0.145,0.276,102.265,4.288483333,4.0,7.0
8869,Alexandra Spence,Tidewater I,10.0,0.224,0.136,9.0,-21.091,1.0,0.0902,0.797,0.859,0.357,0.0323,67.115,679647.0,4.0,6.0
8870,Sleep,Dragonaut,53.0,0.352,0.65,5.0,-13.169,1.0,0.0415,0.00254,0.286,0.174,0.464,123.607,343160.0,4.0,8.0
8871,Jinjer,Outlander,46.0,0.506,0.974,1.0,-1.906,1.0,0.182,5.91e-05,3.85e-06,0.193,0.183,110.219,236027.0,3.0,8.0
8878,Afterglow,Breathe In,32.0,0.438,0.947,6.0,-3.809,0.0,0.0551,1.02e-05,0.000711,0.157,0.314,82.511,243631.0,4.0,8.0
8879,Wristwatch,Husky,38.0,0.507,0.44,11.0,-8.975,1.0,0.043,0.356,0.829,0.103,0.416,169.474,3.9906,4.0,0.0
8880,Eliza & The Delusionals,Just Exist,36.0,0.542,0.872,9.0,-2.553,1.0,0.0402,0.0495,9.81e-05,0.0823,0.311,137.976,237086.0,4.0,6.0
8881,The Temper Trap,Sweet Disposition,70.0,0.542,0.813,2.0,-6.89,1.0,0.0429,0.0765,0.252,0.116,0.305,129.09,234360.0,4.0,6.0
8882,מאיכו,כמה כסף אין לי,15.0,0.759,0.587,7.0,-8.81,0.0,0.0772,0.0437,3.94e-06,0.342,0.559,148.539,124054.0,3.0,5.0
8884,Drive Away With You,Jill Andrews,34.0,0.521,0.51,2.0,-8.141,1.0,0.0296,0.0179,4.5e-06,0.292,0.319,125.911,4.306216667,4.0,0.0
8885,Larkin Poe,Fly Away,36.0,0.491,0.43,10.0,-5.927,1.0,0.0262,0.824,0.000216,0.0674,0.424,80.594,210989.0,4.0,10.0
8886,Lindsay Beaver,You Hurt Me,24.0,0.295,0.674,2.0,-4.567,0.0,0.038,0.354,5.55e-05,0.171,0.646,184.699,223107.0,3.0,2.0
8887,Bicep,Siena,55.0,0.754,0.679,2.0,-8.216,1.0,0.0448,0.00465,0.93,0.0169,0.387,127.014,242928.0,4.0,6.0
8889,Tan Cologne,Cave Vaults on the Moon in New Mexico,20.0,0.343,0.372,8.0,-12.89,0.0,0.0334,0.647,0.938,0.0754,0.219,135.454,265333.0,3.0,6.0
8891,Genesis,That's All - 2007 Remaster,62.0,0.579,0.669,4.0,-8.704,0.0,0.0326,0.253,0.0257,0.0911,0.798,175.181,266173.0,4.0,10.0
8892,Meena,Tell Me,33.0,0.556,0.253,9.0,-12.391,1.0,0.0286,0.882,0.00939,0.104,0.21,152.783,295747.0,3.0,2.0
8893,John Oates,Pallet Soft and Low (Live),20.0,0.392,0.762,2.0,-8.896,1.0,0.0382,0.0123,0.225,0.689,0.309,78.152,509608.0,4.0,2.0
8894,Sleep Token,The Night Does Not Belong To God,45.0,0.415,0.522,8.0,-8.563,1.0,0.032,0.84,0.103,0.11,0.145,152.92,303507.0,4.0,10.0
8898,Northlane,Crash & Burn,53.0,0.227,0.861,8.0,-3.997,1.0,0.0628,0.000218,6.23e-06,0.155,0.143,74.824,246400.0,1.0,10.0
8899,Distant Axis,Matt Berninger,42.0,0.614,0.465,2.0,-10.248,1.0,0.0282,0.48,0.914,0.098,0.103,120.0,4.419333333,4.0,0.0
8900,Kayzo,Lifeline,49.0,0.442,0.958,5.0,-1.841,0.0,0.0848,0.0252,3.46e-06,0.259,0.304,149.884,246400.0,4.0,10.0
8901,Dean Lewis,Chemicals - Acoustic,50.0,0.446,0.239,6.0,-11.092,1.0,0.0435,0.942,4.16e-05,0.11,0.575,75.54,3.91293333,4.0,0.0
